Season,Episode Number,Episode Title,Total Deaths,Victims
Season 1,N/A,Pilot,4,"Unnamed Male Delinquent - Killed when the dropship crashed on the land off-screen, body shown.; Glen Dickson - Killed when the dropship crashed on the land off-screen, body shown.; Alexander “Alex"" Murphy - Floated into space by an unknown ark guard on the orders of Chancellor Thelonious Jaha after he stolen medicine for his son John Murphy off-screen several years prior, mentioned."
Season 1,N/A,Earth Skills,2,"At Least One Unknown Grounder - Died in an unspecified manner off-screen, skull shown."
Season 1,N/A,Earth Kills,7,"Both of Charlotte’s Parents - Floated into space by an unknown ark guard on the orders of Chancellor Thelonious Jaha off-screen, mentioned.; Trina - Died of either convulsions, or, cessation of respiration after she was exposed to the acid fog by unknown Mountain Men on the orders of Cage Wallace.; Pascal - Died of either convulsions, or, cessation of respiration after he was exposed to the acid fog by unknown Mountain Men on the orders of Cage Wallace.; Atom - Injured after being exposed to the acid fog by unknown mountain men on the orders of Cage Wallace, and then stabbed in the neck by Clarke Griffin with a knife at his own request. Shared Kill.; Deputy Resource Officer Jake Griffin - Floated into space by an unknown ark guard on the orders of Chancellor Thelonious Jaha accidentally caused by Dr. Abby Griffin, shown in a flashback."
Season 1,N/A,Murphy's Law,1,None listed
Season 1,N/A,Twilight's Last Gleaming,320,"Tor Lemkin - Died of asphyxiation after Chancellor Thelonious Jaha cut off the oxygen supply to his section in order to conserve air for the rest of the population at his own request because of Bellamy Blake and orchestrated by Marcus Kane, Councilman Cole, Councilman Kaplan, Councilwoman Muir, and Councilman Fuji. Shared Kill.; Cuyler Ridley's Wife - Died of asphyxiation after Chancellor Thelonious Jaha cut off the oxygen supply to her section in order to conserve air for the rest of the population at her own request because of Bellamy Blake and orchestrated by Marcus Kane, Councilman Cole, Councilman Kaplan, Councilwoman Muir, and Councilman Fuji. Shared Kill.; Kara Cooper's Father - Died of asphyxiation after Chancellor Thelonious Jaha cut off the oxygen supply to his section in order to conserve air for the rest of the population at his own request because of Bellamy Blake and orchestrated by Marcus Kane, Councilman Cole, Councilman Kaplan, Councilwoman Muir, and Councilman Fuji. Shared Kill."
Season 1,N/A,His Sister's Keeper,13,"At Least Eight Unknown Grounders - Killed in an unspecified manner off-screen, skeletons shown.; Raven Reyes’s Mother - Died of alcohol poisoning off-screen several years prior, mentioned.; John Mbege - Throat slit by an unknown Trikru warrior with a knife on the orders of Commander Lexa off-screen, body shown.; Diggs - Impaled in the chest by sharpened pipe trap set by unknown Trikru warriors on the orders of Commander Lexa.; Roma Bragg - Impaled in the chest by an unknown Trikru warrior with a thrown spear on the orders of Commander Lexa."
Season 1,N/A,Day Trip,8,"Four Rabbits - Killed by unknown delinquents off-screen, bodies shown.; Unnamed Man - Beaten to death by Dax after he stolen from him off-screen, mentioned.; Unknown Person - Died in an unspecified manner off-screen, skeleton shown.; Dax - Stabbed in the neck by Bellamy Blake with a bullet."
Season 1,N/A,Unity Day,1603,"Unnamed Sky Man - Blown up with a bomb set by Cuyler Ridley on the orders of Councilwoman Diana Sydney. Shared Kill.; Councilman Cole - Blown up with a bomb set by Cuyler Ridley on the orders of Councilwoman Diana Sydney. Shared Kill.; Councilman Kaplan - Blown up with a bomb set by Cuyler Ridley on the orders of Councilwoman Diana Sydney. Shared Kill.; Councilwoman Muir - Blown up with a bomb set by Cuyler Ridley on the orders of Councilwoman Diana Sydney. Shared Kill.; Councilman Fuji - Blown up with a bomb set by Cuyler Ridley on the orders of Councilwoman Diana Sydney. Shared Kill.; Vera Kane - Bled to death after a by broken piece of glass entered her stomach during the unity day bombing caused by Cuyler Ridley on the orders of Councilwoman Diana Sydney. Shared Kill.; Unnamed Male Ark Guard - Frozen to death in a cell when the power was cut off in the prison section by Lieutenant Graco on the orders of Councilwoman Diana Sydney. Shared Kill.; Two Unnamed Male Trikru Archers - Shot to death by Jasper Jordan with an assault rifle.; Nygel - Died of explosive decompression and oxygen after Councilwoman Diana Sydney’s unauthorized exodus ship launch off-screen. ( Debatable ); Miss Lucy - Died of explosive decompression and oxygen after Councilwoman Diana Sydney’s unauthorized exodus ship launch off-screen. ( Debatable ); Reese Lemkin - Died of explosive decompression and oxygen after Councilwoman Diana Sydney’s unauthorized exodus ship launch off-screen. (Debatable); At Least 1,497 Unnamed Sky People - Died of explosive decompression and oxygen after Councilwoman Diana Sydney’s unauthorized exodus ship launch off-screen.; Councilwoman Diana Sydney - Blown up when the exodus ship crashed on the land caused by unknown mountain men on the orders of President Dante Wallace.; Cuyler Ridley - Blown up when the exodus ship crashed on the land caused by unknown mountain men on the orders of President Dante Wallace.; Lieutenant Graco - Blown up when the exodus ship crashed on the land caused by unknown mountain men on the orders of President Dante Wallace.; Red - Blown up when the exodus ship crashed on the land caused by unknown mountain men on the orders of President Dante Wallace."
Season 1,N/A,I Am Become Death,8,"Derek - Died of viral hemorrhagic fever caused by John Murphy and orchestrated by Indra. Shared Kill.; Unnamed Female Delinquent - Died of viral hemorrhagic fever caused by John Murphy and orchestrated by Indra off-screen, body shown. Shared Kill.; Unnamed Male Delinquent - Died of viral hemorrhagic fever caused by John Murphy and orchestrated by Indra off-screen, body shown. Shared Kill.; At least Four Unnamed Male Trikru Warriors - Blown up by Jasper Jordan when he shot a bomb set by Raven Reyes."
Season 1,N/A,The Calm,28,"At Least One Unknown Animal - Killed by unknown delinquents off-screen, body shown.; Unnamed Trikru Healer - Died in an unspecified manner off-screen, mentioned.; Fish - Killed by unknown delinquents off-screen, body shown.; Five Unknown Grounders - Killed by Tris off-screen, marks shown.; Tris - Died of collapsed lungs after she was injured when the bridge was blown up by Jasper Jordan and Raven Reyes. Shared Kill.; At Least 18 Unknown Grounders - Killed by Caliban off-screen, marks shown."
Season 1,N/A,We Are Grounders: Part 1,6,"Vik - Killed by Lincoln off-screen, mentioned.; Myles - Asphyxiated to death by John Murphy with a plastic bag as a revenge for tying the noose that they used to hung him.; Unnamed Sky Woman - Died of her injuries because of explosive decompression and oxygen after Councilwoman Diana Sydney’s unauthorized exodus ship launch.; At Least One Unknown Grounder - Killed and eaten by unknown reapers off-screen, body shown.; Unnamed Reaper - Slashed across the throat by Lincoln with a knife."
Season 1,N/A,We Are Grounders: Part 2,459,"Two Unknown Delinquents - Died in an unspecified manner off-screen, mentioned.; Drew - Stabbed in the head by an unknown Trikru warrior with a thrown ninja star.; Unnamed Male Trikru Warrior - Accidentally committed suicide by stepping on a landmine set by either Raven Reyes, Clarke Griffin, Octavia Blake, Nathan Miller, Drew, Finn Collins, Bellamy Blake, Jasper Jordan, Zoe Monroe, Harper McIntyre, Olivier Grard, Sterling, Jessica, Fox, Chris McMullin, Jones, Bree, Del, or unknown delinquents. Shared Kill.; Unnamed Male Trikru Warrior - Blown up by Harper McIntyre when she shot a landmine set by either Raven Reyes, Clarke Griffin, Octavia Blake, Nathan Miller, Drew, Finn Collins, Bellamy Blake, Jasper Jordan, Zoe Monroe, Harper McIntyre, Olivier Grard, Sterling, Jessica, Fox, Chris McMullin, Jones, Bree, Del, or unknown delinquents. Shared Kill.; At Least 100 Unnamed Sky People - Incinerated when their station exploded and crashed while re-entering the earth’s atmosphere.; Unnamed Male Trikru Warrior - Shot in the chest by Bellamy Blake with an assault rifle.; Unnamed Male Trikru Warrior - Shot in the head by Bellamy Blake with an assault rifle.; Unnamed Male Trikru Warrior - Stabbed through the back of the head by Octavia Blake with a sword.; Unnamed Reaper - Slashed across the chest by an unknown Trikru warrior with a sword.; Unnamed Reaper - Slashed across the chest by Tristan with a sword.; Unnamed Male Trikru Warrior - Shot in the chest by an unknown reaper with an arrow using a bow.; Unnamed Reaper - Stabbed in the chest by an unknown Trikru warrior with a sword.; Unnamed Reaper - Slashed across the chest by Tristan with a sword.; Unnamed Reaper - Stabbed to death by Tristan with a sword.; Unnamed Reaper - Slashed across the throat by Tristan with a sword.; At Least Four Unnamed Reapers - Killed by Tristan, Anya, and unknown Trikru warriors off-screen, 10 shown minus six previously counted. Shared Kills.; Three Unnamed Male Delinquents - Shot in the chest by unknown Trikru warriors with arrows using bows.; Unnamed Female Delinquent - Shot in the chest by an unknown Trikru warrior with an arrow using a bow.; Four Unnamed Male Trikru Warriors - Blown up by unknown delinquents with fireworks.; Unnamed Male Trikru Warrior - Shot in the chest by Nathan Miller with an assault rifle.; Five Unnamed Male Trikru Warriors - Blown up by unknown delinquents with fireworks.; Two Unnamed Male Delinquents - Slashed across the chest by Tristan with a sword.; Unnamed Male Delinquent - Stabbed in the chest by an unknown Trikru warrior with a sword.; Two Unnamed Male Trikru Warriors - Shot in the chest by Nathan Miller with an assault rifle.; Jones - Killed by unknown Trikru warriors off-screen.; Olivier Grard - Killed by unknown Trikru warriors off-screen.; 18 Unknown Delinquents - Killed by Tristan, Anya, and unknown Trikru warriors off-screen. 27 mentioned minus nine previously counted. Shared Kills.; Quint’s Brother - Incinerated by the dropship's rockets rigged by Jasper Jordan with the help of Clarke Griffin and Raven Reyes. Shared Kill."
Season 1,N/A,The 48,59,"Unnamed Male Delinquent - Throat slashed by Tristan with a sword.; Unnamed Male Trikru Warrior - Shot in the head by Raven Reyes with an assault rifle.; John Murphy’s Mother - Died of alcohol poisoning off-screen several years prior, mentioned.; Tristan - Shot through the back and head by Marcus Kane with an assault rifle.; Dante Wallace’s Father - Died in an unspecified manner off-scree several years prior, implied.; 52 Unknown Mount Weather People - Died of radiation poisoning off-screen several years prior, mentioned. 54 mentioned minus two later counted.; Dante Wallace’s Sister - Died of radiation poisoning off-screen, several years prior, mentioned."
Season 1,N/A,Inclement Weather,5,"Sergeant James Shaw - Died of radiation poisoning after being shot in the chest by an unnamed sky men with an assault rifle off-camera, body shown.; Two Unnamed Sky Men - Crucified by unknown Trikru warriors on the orders of Commander Lexa off-screen, bodies shown."
Season 1,N/A,Reapercussions,17,"At Least Six Unnamed Grounders - Died after being drained of blood by Dr. Lorelei Tsing on the orders of President Dante Wallace off-screen, bodies shown. Shared Kills.; Unnamed Female Grounder - Killed by unknown reapers off-screen, body shown.; Unnamed Male Grounder - Neck snapped by Anya after being injured by unknown reapers, mercy kill.; Unnamed Sky Man - Bled to death off-screen after being accidentally shot in the chest by an unnamed ark guard with an assault rifle, body shown.; Unnamed Reaper - Impaled in the chest by either Indra, Artigas, Penn, or unknown Trikru warrior with a thrown spear. Shared Kill.; Unnamed Male Trikru Warrior - Stabbed in the back by an unknown reaper with an axe.; Unnamed Reaper - Shot in the chest by Artigas with an arrow using a bow.; Unnamed Male Trikru Warrior - Slashed across the chest by an unknown reaper with an axe.; Unnamed Reaper - Throat slashed by Octavia Blake with a sword.; Two Unnamed Mount Weather Guards - Died of radiation poisoning of-screen after they were exposed to radiation by Clarke Griffin and Anya. Shared Kills."
Season 1,N/A,Many Happy Returns,3,"Sterling - Accidentally fell from a cliff when the rope broke, and snaps from the stump it was tied to while he was trying to save Mel.; Cockroach - Eaten alive by Chancellor Thelonious Jaha."
Season 1,N/A,Human Trials,20,"Unnamed Reaper - Beaten to death by Lincoln orchestrated by Cage Wallace. Shared Kill.; Unnamed Male Tondc Villager - Shot to death by Finn Collins with an assault rifle off-camera, body shown.; Artigas - Shot to death by Finn Collins with an assault rifle.; Unnamed Female Tondc Villager - Shot to death by Finn Collins with an assault rifle."
Season 1,N/A,Fog of War,5,"Brixton - Died of either convulsions, or, cessation of respiration after he was exposed to the acid fog by unknown Mountain Men on the orders of Cage Wallace.; Unnamed Male Ark Guard - Killed and eaten by unknown reapers off-screen, body shown.; Sergeant Scott - Killed and eaten by unknown reapers off-screen, body shown."
Season 1,N/A,Long Into an Abyss,3,"Keenan Mykulak - Died of radiation poisoning after being exposed to radiation by Dr. Lorelei Tsing, and Cage Wallace. Shared Kill.; Lincoln - Died of a heart attack after being injected with an addictive red drug by Cage Wallace. Revived by Clarke Griffin Via CPR. ( Villain at the time of the head so listed in bold )"
Season 1,N/A,Spacewalker,1,None listed
Season 1,N/A,Remember Me,5,"Costia - Tortured and decapitated by unknown Azgeda warriors on the orders of Queen Nia off-screen, mentioned.; Three Pigs - Killed and cooked by unknown Trikru warriors off-screen, bodies shown."
Season 1,N/A,Survival of the Fittest,7,"Deer - Impaled in the side by either Bellamy Blake or Lincoln with a thrown spear off-screen, body shown. Shared Kill.; Unnamed Man - Killed by Lincoln on the orders of his father off-screen several years prior, mentioned.; Major Byrne - Bled to death after her arm was ripped off by Pauna.; Quint - Beaten to death by Pauna off-screen after his leg was sliced by Commander Lexa with a sword after he tried to Kill Clarke Griffin. Shared Kill.; Moose - Ripped apart and eaten by Pauna off-screen, body shown.; One of Lexa’s Guards - Beaten to death by Pauna."
Season 1,N/A,Coup de Grâce,3,Unnamed Mount Weather Guard - Shot in the neck by an unknown Trikru warrior with an arrow using a bow.; Unnamed Male Trikru Warrior - Bled to death after he was accidentally shot in the chest by an unknown mount weather guard.
Season 1,N/A,Rubicon,264,"Unknown Delinquent - Died after his bone marrow was extracted by Dr. Lorelei Tsing on the orders of President Cage Wallace off-screen, body shown. Shared Kill.; Unnamed Male Delinquent - Died after his bone marrow was extracted by Dr. Lorelei Tsing on the orders of President Cage Wallace off-screen, body shown. Shared Kill.; Jessica - Died after her bone marrow was extracted by Dr. Lorelei Tsing on the orders of President Cage Wallace off-screen. Shared Kill.; 125 Unnamed Grounders - Blown up by Whitman when he shot a missile launched by Lieutenant Carl Emerson on the orders of Cage Wallace because of Clarke Griffin and Commander Lexa. Shared Kills.; 125 Unnamed Sky People - Blown up by Whitman when he shot a missile launched by Lieutenant Carl Emerson on the orders of Cage Wallace because of Clarke Griffin and Commander Lexa. Shared Kills.; 10 Unnamed Mount Weather Guards - Died of radiation poisoning when Bellamy Blake caused a radiation leak."
Season 1,N/A,Resurrection,19,"Horse - Burned alive by Whitman when he shot a missile launched by Lieutenant Carl Emerson on the orders of Cage Wallace because of Clarke Griffin and Commander Lexa. Shared Kills.; Unnamed Female Grounder - Died of her injuries after she was blown up by Whitman when he shot a missile launched by Lieutenant Carl Emerson on the orders of Cage Wallace because of Clarke Griffin and Commander Lexa. Shared Kills.; Unnamed Male Grounder - Shot in the shoulder by Whitman with a sniper rifle on the orders of President Cage Wallace.; Lowan - Shot in the back by Whitman with a sniper rifle on the orders of President Cage Wallace.; Unnamed Male Grounder - Shot in the chest by Whitman with a sniper rifle on the orders of President Cage Wallace.; Unnamed Mount Weather Guard - Slashed across the back by Jasper Jordan with an axe.; Unnamed Mount Weather Guard - Shot in the chest by Monty Green with an assault rifle.; Unnamed Mount Weather Guard - Stabbed in the chest by Jasper Jordan with an axe.; Unnamed Mount Weather Guard - Stabbed to death by an unnamed female delinquent with a knife.; Two Unnamed Mount Weather Guard - Beaten to death by Nathan Miller with a broken piece of wood.; Unnamed Mount Weather Guard - Stabbed to death by an unnamed male delinquent with a knife.; Unnamed Mount Weather Guard - Stabbed in the abdomen by an unnamed male delinquent with an axe.; Unnamed Mount Weather Guard - Stabbed to death by two unnamed male delinquents with a cleaver and a knife.; Unnamed Mount Weather Guard - Stabbed in the back by Jasper Jordan with an axe.; Two Unnamed Mount Weather Guards - Shot in the head by Bellamy Blake with a pistol.; Maya Vie’s Mother - Died of radiation poisoning off-screen several years prior, mentioned."
Season 1,N/A,Bodyguard of Lies,9,Harris - Accidentally committed suicide by blowing himself up when he stepped on a landmine.; Lily - Accidentally committed suicide by blowing herself up when she fell on a landmine.; Garza - Incinerated in an acid fog explosion caused by Bellamy Blake.
Season 1,N/A,Blood Must Have Blood: Part 1,23,"Mrs. Peters - Shot in the head by Paul Tilling with a pistol on the orders of President Cage Wallace after she tried to hide Jasper Jordan and Maya Vie.; Mr. Peters - Shot in the head by Paul Tilling with a pistol on the orders of President Cage Wallace after he tried to hide Jasper Jordan and Maya Vie.; Unnamed Mount Weather Guard - Shot in the eye by Penn with an arrow using a bow.; Paul Tilling - Shot in the side of the head by Bellamy Blake with a pistol.; Unnamed Mount Weather Guard - Strangled with handcuffs, and then head slammed against a wall by Nathan Miller.; Unnamed Mount Weather Guard - Bludgeoned by Kyle Wick with a pipe wrench.; Three Unnamed Mount Weather Guards - Blown up by Raven Reyes and Kyle Wick.; Three Unnamed Grounders - Shot to death by Lieutenant Carl Emmerson, and unknown mount weather guards with assault rifles on the orders of President Cage Wallace.; Seven Unnamed Grounders - Shot to death by Lieutenant Carl Emmerson, and unknown mount weather guards with assault rifles on the orders of President Cage Wallace.; Two Unnamed Grounders - Shot to death by Lieutenant Carl Emmerson, and unknown mount weather guards with assault rifles on the orders of President Cage Wallace.; Mrs. Ryan - Shot in the head by an unknown mount weather guard with a pistol on the orders of President Cage Wallace after she tried to hide Monty, Fox, and other delinquents off-camera, body shown."
Season 1,N/A,Blood Must Have Blood: Part 2,389,"Richards - Eaten alive by a Giant Lamprey.; Craig - Eaten alive by a Giant Lamprey after being pushed from the boat by Thelonious Jaha.; Fox - Died after her bone marrow was extracted by an unknown mount weather doctor on the orders of President Cage Wallace off-screen, body shown.; Sargent Langston - Killed by either David Miller, Zoe Monroe, Marcus Kane, or Dr. Abigail Griffin off-screen, mentioned.; Chris McMullin - Died after his bone marrow was extracted by an unknown mount weather doctor on the orders of President Cage Wallace.; President Dante Wallace - Shot in the chest by Clarke Griffin with a pistol.; Unnamed Mount Weather Guard - Stabbed in the chest by Octavia Blake with a thrown sword.; Unnamed Mount Weather Guard - Throat slashed by Octavia Blake with a sword.; Four Unnamed Mount Weather Guards - Died of radiation poisoning after they were exposed to radiation by Clarke Griffin and Bellamy Blake with the help of Monty Green.; Lee - Died of radiation poisoning after he was exposed to radiation by Clarke Griffin and Bellamy Blake with the help of Monty Green.; Eric Lovejoy’s Son - Died of radiation poisoning after he was exposed to radiation by Clarke Griffin and Bellamy Blake with the help of Monty Green off-screen.; Dr. Thorpe - Died of radiation poisoning after he was exposed to radiation by Clarke Griffin and Bellamy Blake with the help of Monty Green off-screen.; Carl Emerson’s Brother - Died of radiation poisoning after he was exposed to radiation by Clarke Griffin and Bellamy Blake with the help of Monty Green off-screen.; Aaron Emerson - Died of radiation poisoning after he was exposed to radiation by Clarke Griffin and Bellamy Blake with the help of Monty Green off-screen.; Carl Emerson’s Child - Died of radiation poisoning after he was exposed to radiation by Clarke Griffin and Bellamy Blake with the help of Monty Green off-screen.; 172 Unnamed Mount Weather Men - Died of radiation poisoning after they were exposed to radiation by Clarke Griffin and Bellamy Blake with the help of Monty Green. 182 mentioned minus ten previously counted.; 172 Unnamed Mount Weather Women - Died of radiation poisoning after they were exposed to radiation by Clarke Griffin and Bellamy Blake with the help of Monty Green. 173 mentioned minus Maya who was later counted.; 24 Unnamed Children - Died of radiation poisoning after they were exposed to radiation by Clarke Griffin and Bellamy Blake with the help of Monty Green. 26 mentioned minus Lovejoy’s son and Emerson's child who were previously counted.; Maya Vie - Died of radiation poisoning after she was exposed to radiation by Clarke Griffin and Bellamy Blake with the help of Monty Green.; President Cage Wallace - Hand cut off, and then died after he was injected by Lincoln with an addictive red drug."
Season 1,N/A,Wanheda: Part 1,6,"Unnamed Azgeda Warrior - Shot in the chest by Raven Reyes with an assault rifle.; Unnamed Azgeda Warrior - Shot in the chest by Nathan Miller with an assault rifle.; Unnamed Azgeda Warrior - Shot in the shoulder by Bellamy Blake with an assault rifle, and then stabbed in the chest by Octavia Blake with a thrown sword.; Black Panther - Stabbed in the stomach by Clarke Griffin with a knife.; Niylah’s Mother - Killed by unknown mount weather doctors on the orders of President Dante Wallace off-screen, mentioned."
Season 1,N/A,Wanheda: Part 2,131,"Monty Green’s Father - Killed by Tybe on the orders of Queen Nia off-screen, mentioned.; 110 Unnamed Farm Station Survivors - Killed by unknown Azgeda warriors on the orders of Queen Nia off-screen, mentioned. 126 mentioned minus Monty’s father who was previously counted and minus 15 children who were later counted.; Unnamed Azgeda Bounty Hunter - Shot in the back by Bellamy Blake with an assault rifle.; Unnamed Azgeda Warrior - Slashed across the chest by Prince Roan with a sword.; Unnamed Azgeda Warrior - Stabbed in the chest by Prince Roan with a sword.; Unnamed Azgeda Warrior - Shot in the back by Prince Roan with an arrow using a bow.; Gideon - Throat slashed by Emori with a knife. Consciousness preserved into the City of Light."
Season 1,N/A,Ye Who Enter Here,61,"Unnamed Male Azgeda Ambassador - Fell to his death after being kicked off the Polis tower by Commander Lexa.; At Least Six Fish - Killed by unknown Trikru warriors off-screen, bodies shown.; Nelson - Throat slashed by an unknown Azgeda warrior on the orders of Queen Nia off-screen, body shown.; Hills - Throat slashed by an unknown Azgeda warrior on the orders of Queen Nia off-screen, body shown.; Unnamed Polis Guard - Stabbed to death by Charles Pike with a knife.; Unnamed Polis Guard - Neck snapped by Bellamy Blake.; Gina Martin - Bled to death off-screen after being stabbed multiple times by an unknown Azgeda assassin with a knife on the orders of Queen Nia, body shown.; Unnamed Azgeda Assassin - Shot though the back by Raven Reyes with a pistol.; Shawn Gillmer’s Son - Blown up by an unknown Azgeda assassin with missiles launched inside mount weather on the orders of Queen Nia.; Iris Jones - Blown up by an unknown Azgeda assassin with missiles launched inside mount weather on the orders of Queen Nia."
Season 1,N/A,Watch the Thrones,1,None listed
Season 1,N/A,Hakeldama,302,"Semet's Brother - Shot to death by Chancellor Charles Pike, Bellamy Blake, Hannah Green, Shawn Gillmer, and unknown Arkedia guards off-screen, body shown.; Two of Semet's Sons - Shot to death by Chancellor Charles Pike, Bellamy Blake, Hannah Green, Shawn Gillmer, and unknown Arkedia guards off-screen, bodies shown.; Semet's Wife - Shot to death by Chancellor Charles Pike, Bellamy Blake, Hannah Green, Shawn Gillmer, and unknown Arkedia guards off-screen, body shown.; Niylah's Father - Shot to death by Chancellor Charles Pike, Bellamy Blake, Hannah Green, Shawn Gillmer, and unknown Arkedia guards off-screen, body shown.; 295 Unnamed Trikru Warriors - Shot to death by Chancellor Charles Pike, Bellamy Blake, Hannah Green, Shawn Gillmer, and unknown Arkedia guards off-screen, bodies shown. 300 mentioned minus five previously counted.; Otan - Shot in the back by Shawn Gillmer with a pistol. Consciousness preserved into the City of Light."
Season 1,N/A,Bitter Harvest,3,"Both of Gavriel’s Parents - Killed by unknown sky people off-screen, mentioned.; Lacroix - Died after he inhaled poisoned smoke caused by unknown Trikru villagers on the orders of Semet."
Season 1,N/A,Thirteen,11000000011,"Emily McAdams - Nuked to death by A.L.I.E when she launched the nuclear missiles during the nuclear apocalypse 97 years prior, shown in a flashback.; Sarah McAdams - Nuked to death by A.L.I.E when she launched the nuclear missiles during the nuclear apocalypse 97 years prior, shown in a flashback.; Lucy - Nuked to death by A.L.I.E when she launched the nuclear missiles during the nuclear apocalypse 97 years prior, shown in a flashback.; 10,999,999,997 Unnamed People - Nuked to death by A.L.I.E when she launched the nuclear missiles during the nuclear apocalypse 97 years prior, shown in a flashback. 11,000,000,000 mentioned minus Emily and Sarah who were previously counted and minus Lucy who was show in season 7.; Semet - Stabbed in the neck by Titus with a knife.; Commander Cole McAdams - Blown up by unknown alpha station guards with a missile because of Becca Franko, shown in a flashback.; Dr. Peri Gordon - Blown up by unknown alpha station guards with a missile because of Becca Franko, shown in a flashback.; Seven Unknown Nightbloods - Killed by Commander Lexa during the conclave off-screen, several years prior, marks shown."
Season 1,N/A,Terms and Conditions,6,"Four Unnamed Akradia Guards - Killed by unknown Trikru warriors off-screen, blood shown."
Season 1,N/A,Stealing Fire,9,"Aden - Decapitated by Ontari in his sleep off-screen, severed head shown.; Six Unnamed Nightbloods - Decapitated by Ontari in their sleep off-screen, severed heads shown.; Flamekeeper Titus - Committed suicide by slitting his own throat with Roan’s knife."
Season 1,N/A,Fallen,5,"Mary Jackson - Died of an unspecified illness off-screen several years prior, mentioned.; Two Unnamed Male Arkedia Guards - Shot in the chest by unknown Trikru warriors with arrow using bows.; Unnamed Female Arkedia Guard - Shot in the back by an unknown Trikru warrior with an arrow using a bow."
Season 1,N/A,Nevermore,1,None listed
